subject_id	relation_id	object_id
None	RO:0002434	None
None	None	None
None	RO:0002331	None
None	RO:0002206	None
None	RO:HOM0000017	None
None	RO:HOM0000011	None
None	GENO:0000639	None
None	GENO:0000414	None
None	RO:0002418	None
None	contributes_to	None
None	RO:0002327	None
None	GENO:0000840	None
None	GENO:0000443	None
None	RO:0002200	None
None	GENO:0000841	None
None	GENO:0000418	None
None	RO:0002326	None
None	GENO:0000408	None
None	RO:0003301	None
None	RO:HOM0000020	None
None	BFO:0000050	None
